status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
kept,Understanding Coding Behavior: An Incremental Process Mining Approach,Ardimento P.,2022,Electronics Switzerland,10.3390/electronics11030389,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85123363533&origin=inward,vcs-log-mining-method,,wos,human,,human,
kept,Using git metrics to measure students’ and teams’ code contributions in software development projects,Hamer S.,2021,Clei Eletronic Journal Cleiej,10.19153/cleiej.24.2.8,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118949311&origin=inward,git-repository-data,,wos,human,,human,
discarded,Measuring students' contributions in software development projects using Git metrics,Hamer S.,2020,Proceedings 2020 46th Latin American Computing Conference Clei 2020,10.1109/CLEI52000.2020.00068,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85113587775&origin=inward,superseded by journal version 10.19153/cleiej.24.2.8,,wos,human,,human,
